Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus
DITAS,2025-12-16,46.20,50,4,0,0,41.20,39.87,2.51,2.38,1,74.88,39.36,3481934.00,35.39,40.02,44.66,23.16,1,300.69,0.00,100,0,1,0,0,0,ImpulseUp,3,Başlangıç,2025-09-02 00:00,32.46,ImpulseUp,3,Başlangıç,2025-12-08 04:00,38.4,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 08:30,58,-,0,AL,50,2025-10-28 07:30,302,-,0,AL,50,2025-11-07 12:00,81,-,0,AL,50,2025-10-24 00:00,37,0,0,0,0,0,42.27,50.13,14.07,20.44,69681209,0,3.98,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (5.67%) | Gelişmiş Cup & Handle | ATR STOP: 42.27, TP: 50.13 | 1H:%14.07 | 1A:%20.44 | Volume Delta pozitif",9,8.51,2,1,1,0,0,-300.69,-0.00,3481934.00,0,-258.12,1407315379.92,58255689.14,True,-0.01,-0.01,False,0.00,3.00,1.00,False,0.12,0.24,1279234572.00,AKD nötr/negatif,4.81,110.01,24.16,-0.01,19.00,-239.12
DMRGD,2025-12-16,3.74,100,3,0,0,3.32,3.23,0.08,-0.02,1,73.07,24.13,101559793.00,2.67,3.12,3.56,28.40,0,168.34,17.26,0,0,0,0,0,0,ImpulseUp,4,Düşüş Başlangıcı,2025-10-28 00:00,3.79,None,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,AL,50,2025-12-04 12:15,274,-,0,-,0,,,-,0,-,0,,,-,0,SAT,-50,2025-11-07 00:00,27,0,1,0,0,0,3.47,4.01,19.49,30.77,103902896,37.399998,3.23,"ATR Oranı düşük (4.78%) | ATR STOP: 3.47, TP: 4.01 | 1H:%19.49 | 1A:%30.77 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",5,7.22,1,1,0,0,0,-168.34,-17.26,101559793.00,0,-143.86,12375050532.65,90000819.71,True,-0.00,0.01,False,0.00,3.00,1.00,False,0.15,0.26,2579665546.04,AKD nötr/negatif,7.78,479.72,137.50,0.00,24.00,-119.86
DMSAS,2025-12-16,12.22,50,4,0,0,11.71,11.05,0.62,0.49,1,91.41,85.22,1227340.00,9.52,10.90,12.28,25.33,1,84.59,0.00,100,0,1,0,0,0,ImpulseUp,4,Düşüş Başlangıcı,2025-08-26 00:00,8.25,ImpulseUp,5,Başlangıç,2025-12-05 12:00,10.7,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-08 07:00,229,-,0,AL,50,2025-09-15 10:30,577,-,0,AL,50,2025-09-15 08:00,195,-,0,AL,50,2025-08-22 00:00,82,0,1,0,0,0,11.84,12.60,6.82,21.11,22841375,0,1.81,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (2.1%) | Gelişmiş Cup & Handle | ATR STOP: 11.84, TP: 12.6 | 1H:%6.82 | 1A:%21.11 | Confirmed BUY (alphaTrend teyidi)",10,3.11,2,0,1,0,0,-84.59,-0.00,1227340.00,0,-38.68,561120125.62,25872368.00,True,0.04,0.00,False,0.00,3.00,1.00,False,0.01,0.05,1285436525.10,AKD nötr/negatif,0.99,43.65,21.69,0.03,16.00,-22.68
DOFER,2025-12-16,55.00,0,0,0,0,57.62,55.35,-1.03,-1.15,1,47.76,14.64,-2292032.00,51.62,55.19,58.76,12.94,0,137.68,16.29,0,0,1,0,0,0,ImpulseDown,2,Başlangıç,2025-10-14 00:00,52.00,None,-,Orta,,,down,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,AL,50,2025-12-15 07:30,62,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,0,0,0,49.46,60.54,2.14,0.55,106438904,0,2.46,"ATR Oranı düşük (6.72%) | Gelişmiş Cup & Handle | ATR STOP: 49.46, TP: 60.54 | 1H:%2.14 | 1A:%0.55",3,10.07,0,0,1,0,0,-137.68,-16.29,-2292032.00,0,-126.21,1149563351.68,145984420.57,True,0.05,-0.01,True,0.00,3.00,1.00,False,0.13,0.40,1015532045.00,AKD pozitif (1g norm),-0.99,113.20,7.87,0.04,25.00,-101.21
DOHOL,2025-12-16,17.85,50,4,0,0,17.47,17.61,0.17,0.14,1,57.26,20.86,-10897917.00,16.92,17.54,18.16,7.09,1,40.28,7.60,0,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-11-25 00:00,16.83,ImpulseUp,3,Orta,2025-12-11 12:00,17.63,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 13:15,6,-,0,AL,50,2025-12-01 10:30,103,-,0,AL,50,2025-12-02 04:00,32,-,0,-,0,,,0,1,0,0,0,17.24,18.46,1.08,4.39,278649140,0,0.59,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (2.27%) | Gelişmiş Cup & Handle | ATR STOP: 17.24, TP: 18.46 | 1H:%1.08 | 1A:%4.39 | Confirmed BUY (alphaTrend teyidi)",5,3.42,2,0,1,0,0,-40.28,-7.60,-10897917.00,0,-20.54,-2384872647.81,300668461.71,False,-0.03,-0.05,False,0.00,-3.00,-1.00,False,0.01,0.03,16654141035.00,AKD nötr/negatif,-0.17,-14.32,-7.93,-0.04,0.00,-20.54
DURKN,2025-12-16,15.07,100,3,0,0,14.34,14.47,-0.07,-0.19,1,61.03,17.44,5329915.00,13.71,14.29,14.87,8.14,0,17.87,24.33,0,100,0,0,0,0,ImpulseDown,4,Orta,2025-11-28 00:00,13.70,ImpulseUp,5,Başlangıç,2025-12-16 08:00,14.17,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 14:15,2,-,0,AL,50,2025-12-05 11:30,66,-,0,SAT,-50,2025-09-26 08:00,168,-,0,SAT,-50,2025-11-06 00:00,28,0,0,0,0,0,14.48,15.66,4.58,3.57,22429222,16.560438,0.89,"ATR Oranı düşük (2.63%) | ATR STOP: 14.48, TP: 15.66 | 1H:%4.58 | 1A:%3.57 | Volume Delta pozitif",4,3.92,1,1,0,0,0,-17.87,-24.33,5329915.00,0,0.07,-45228468.04,32799661.57,False,0.02,0.02,False,0.00,-3.00,-1.00,False,0.12,0.17,639211214.73,AKD nötr/negatif,5.09,-7.08,-1.38,0.02,-4.00,-3.93
ECILC,2025-12-16,83.70,-50,0,4,0,87.79,89.27,-1.72,-0.50,0,37.28,19.47,-3526161.00,79.38,92.37,105.37,28.14,1,119.63,25.40,0,100,0,0,1,0,ImpulseUp,3,Yükseliş Başlangıcı,2025-11-07 00:00,74.00,ImpulseDown,3,Düşüş Başlangıcı,2025-12-02 08:00,95.1,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-10 09:45,152,-,0,SAT,-50,2025-11-27 10:30,121,-,0,SAT,-50,2025-12-04 08:00,25,-,0,-,0,,,0,0,1,0,0,78.17,89.23,-3.52,-14.50,548516859,24.260868,1.00,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.4%) | Gelişmiş TOBO formasyonu | ATR STOP: 78.17, TP: 89.23 | 1H:%-3.52 | 1A:%-14.5 | Confirmed SELL (alphaTrend teyidi)",1,6.61,0,0,1,0,0,-119.63,-25.40,-3526161.00,0,-118.53,8555946237.21,463040688.00,True,-0.02,-0.02,False,0.00,3.00,1.00,False,0.03,0.10,10753899624.90,AKD nötr/negatif,-0.36,79.56,18.48,-0.02,16.00,-102.53
ECZYT,2025-12-16,315.00,-50,0,4,0,336.48,331.31,-2.91,2.24,0,43.27,15.73,-405409.00,296.71,343.11,389.51,27.05,1,92.07,19.02,0,0,0,0,0,0,ImpulseUp,4,Orta,2025-11-24 00:00,399.25,ImpulseDown,5,Düşüş Başlangıcı,2025-12-15 12:00,329.5,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 07:45,28,-,0,SAT,-50,2025-11-27 09:30,122,-,0,SAT,-50,2025-12-10 12:00,12,-,0,AL,50,2025-07-21 00:00,106,0,0,0,0,0,292.61,337.39,-2.40,-11.89,168622775,31.25,1.28,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.74%) | ATR STOP: 292.61, TP: 337.39 | 1H:%-2.4 | 1A:%-11.89",0,7.11,0,0,0,0,0,-92.07,-19.02,-405409.00,0,-91.20,3160392631.73,108572931.14,True,-0.08,-0.04,False,-2.00,3.00,0.00,False,0.02,0.06,6067031040.00,AKD nötr/negatif,-3.08,52.09,29.11,-0.07,-22.00,-113.20
EGEGY,2025-12-16,23.76,-100,0,3,0,25.04,24.54,-0.43,-0.45,1,42.44,13.70,-1207261.00,23.26,24.43,25.60,9.59,0,59.46,19.07,0,0,1,0,0,0,ImpulseDown,2,Başlangıç,2025-10-20 00:00,23.08,ImpulseDown,3,Düşüş Başlangıcı,2025-12-12 04:00,24.34,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 11:15,14,-,0,SAT,-50,2025-12-16 11:30,3,-,0,SAT,-50,2025-11-10 08:00,79,-,0,SAT,-50,2025-11-26 00:00,14,0,0,0,0,0,22.33,25.19,-0.42,-8.62,28112488,0,3.78,"ATR Oranı düşük (4.0%) | Gelişmiş Cup & Handle | ATR STOP: 22.33, TP: 25.19 | 1H:%-0.42 | 1A:%-8.62",1,6.02,0,0,1,0,0,-59.46,-19.07,-1207261.00,0,-55.73,2144945978.29,31771577.00,True,-0.02,0.00,False,0.00,3.00,1.00,False,0.02,0.08,1453396824.00,AKD nötr/negatif,-4.12,147.58,67.51,-0.01,13.00,-42.73
EGEPO,2025-12-16,7.19,-50,0,4,0,7.56,7.41,-0.15,-0.14,0,39.15,6.41,-1656762.00,6.89,7.50,8.11,16.21,0,36.30,27.30,0,100,0,0,1,0,ImpulseDown,4,Yükseliş Başlangıcı,2025-11-12 00:00,7.00,ImpulseUp,2,Başlangıç,2025-12-08 08:00,7.34,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 14:00,3,-,0,SAT,-50,2025-11-27 13:30,118,-,0,SAT,-50,2025-11-26 04:00,44,-,0,SAT,-50,2025-11-27 00:00,13,0,0,0,0,0,6.79,7.59,-0.96,-10.90,22670927,0,2.08,"ATR Oranı düşük (3.69%) | Gelişmiş TOBO formasyonu | ATR STOP: 6.79, TP: 7.59 | 1H:%-0.96 | 1A:%-10.9",2,5.56,0,0,1,0,0,-36.30,-27.30,-1656762.00,0,-30.56,180824227.29,15823719.14,True,-0.10,-0.02,False,-2.00,3.00,0.00,False,0.02,0.07,727597888.28,AKD nötr/negatif,-1.91,24.85,11.43,-0.08,-25.00,-55.56
EGGUB,2025-12-16,100.30,100,3,0,0,99.73,98.76,-0.86,-1.60,1,52.74,15.28,655791.00,94.27,97.77,101.27,7.16,0,93.04,24.07,0,100,0,0,0,0,ImpulseDown,3,Orta,2025-11-06 00:00,115.00,ImpulseUp,5,Orta,2025-12-16 08:00,97.85,down,2025-12-16 00:00,up,2025-12-16 12:00,AL,50,-,0,-,0,-,0,AL,50,2025-12-16 12:15,10,-,0,AL,50,2025-12-10 07:30,43,-,0,SAT,-50,2025-10-03 08:00,153,-,0,SAT,-50,2025-11-21 00:00,17,0,0,0,0,0,95.21,105.39,2.98,-1.28,46789965,22.43848,1.26,"ATR Oranı düşük (3.38%) | ATR STOP: 95.21, TP: 105.39 | 1H:%2.98 | 1A:%-1.28",3,5.07,1,0,0,0,0,-93.04,-24.07,655791.00,0,-80.30,-153874487.44,36490254.14,False,0.06,0.02,True,2.00,-3.00,0.00,False,0.01,0.03,4560602785.70,AKD pozitif (1g norm),1.52,-3.37,-4.22,0.05,10.00,-70.30
EGPRO,2025-12-16,24.82,0,0,0,0,24.93,25.19,-0.17,-0.34,1,44.61,11.00,-650758.00,23.80,24.98,26.16,9.47,0,43.20,19.16,0,0,0,0,0,0,ImpulseDown,5,Orta,2025-12-15 00:00,25.82,ImpulseUp,3,Orta,2025-12-12 04:00,24.5,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:45,24,-,0,AL,50,2025-12-08 08:30,60,-,0,SAT,-50,2025-11-11 12:00,75,-,0,AL,50,2025-08-07 00:00,93,0,0,0,0,0,23.59,26.05,-0.80,-3.55,18168852,18.116789,1.63,"ATR Oranı düşük (3.31%) | ATR STOP: 23.59, TP: 26.05 | 1H:%-0.8 | 1A:%-3.55",0,4.96,0,0,0,0,0,-43.20,-19.16,-650758.00,0,-42.82,-521608642.64,22395921.43,False,-0.13,-0.02,False,-4.00,-3.00,-4.00,True,0.01,0.04,1775069611.84,AKD/Taban veto,-3.20,-29.39,-23.29,-0.09,-119.00,-161.82
EGSER,2025-12-16,3.12,0,0,0,0,3.11,3.11,-0.05,-0.07,1,48.62,23.98,-2877502.00,2.97,3.08,3.18,6.82,0,10.64,21.21,0,100,1,0,0,0,ImpulseDown,5,Orta,2025-12-04 00:00,3.25,ImpulseUp,3,Başlangıç,2025-12-11 12:00,3.04,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 14:45,33,-,0,AL,50,2025-12-15 14:30,9,-,0,SAT,-50,2025-09-26 12:00,167,-,0,SAT,-50,2025-11-12 00:00,24,0,0,0,0,0,2.98,3.26,2.63,-4.29,12223774,0,1.06,"ATR Oranı düşük (2.9%) | Gelişmiş Cup & Handle | ATR STOP: 2.98, TP: 3.26 | 1H:%2.63 | 1A:%-4.29",3,4.49,0,0,1,0,0,-10.64,-21.21,-2877502.00,0,-0.46,366973263.09,9939300.14,True,0.03,0.10,False,2.00,3.00,2.00,False,0.01,0.04,771172381.20,AKD nötr/negatif,-0.95,47.59,36.92,0.05,24.00,23.54
EKGYO,2025-12-16,20.40,-50,0,4,0,20.86,20.58,0.24,0.39,0,49.33,16.23,-108988418.00,19.58,20.73,21.88,11.08,1,86.41,6.51,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-11-03 00:00,21.26,ImpulseDown,5,Orta,2025-12-15 04:00,21.28,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:00,27,-,0,SAT,-50,2025-12-10 10:30,40,-,0,AL,50,2025-11-19 12:00,57,-,0,-,0,,,0,0,0,0,0,19.39,21.41,-0.78,6.25,3114640336,10.851064,0.60,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.32%) | ATR STOP: 19.39, TP: 21.41 | 1H:%-0.78 | 1A:%6.25",0,4.95,0,0,0,0,0,-86.41,-6.51,-108988418.00,0,-87.58,7727538689.48,3051742018.71,True,-0.08,-0.04,False,-2.00,3.00,0.00,False,0.06,0.24,37486226182.80,AKD nötr/negatif,-2.30,20.61,2.53,-0.07,-22.00,-109.58
EKOS,2025-12-16,27.14,50,4,0,0,26.57,26.99,0.18,0.06,1,51.70,18.77,-3155920.00,25.86,26.86,27.86,7.47,1,51.79,6.74,0,0,1,0,0,0,ImpulseUp,3,Orta,2025-11-14 00:00,25.44,None,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 13:00,7,-,0,-,0,,,-,0,-,0,,,-,0,AL,50,2025-08-05 00:00,94,0,0,0,0,0,25.50,28.78,0.15,-1.81,91849017,0,2.29,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.04%) | Gelişmiş Cup & Handle | ATR STOP: 25.5, TP: 28.78 | 1H:%0.15 | 1A:%-1.81",4,6.04,2,0,1,0,0,-51.79,-6.74,-3155920.00,0,-34.89,1646392206.44,75555242.14,True,-0.08,-0.02,False,-2.00,3.00,0.00,False,0.04,0.14,2082633929.44,AKD nötr/negatif,-1.95,79.05,21.79,-0.06,-16.00,-50.89
EKSUN,2025-12-16,5.60,0,0,0,0,5.72,5.69,-0.09,-0.13,1,42.87,22.22,-1572485.00,5.47,5.64,5.81,6.18,0,12.68,28.93,0,100,0,0,0,0,ImpulseDown,5,Orta,2025-12-12 00:00,5.84,None,-,Orta,,,down,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,SAT,-50,2025-12-15 11:30,46,-,0,-,0,,,-,0,-,0,,,-,0,SAT,-50,2025-11-13 00:00,23,0,0,0,0,0,5.38,5.82,0.00,-2.95,8890540,0,1.49,"ATR Oranı düşük (2.6%) | ATR STOP: 5.38, TP: 5.82 | 1H:%0.0 | 1A:%-2.95",2,3.93,0,0,0,0,0,-12.68,-28.93,-1572485.00,0,-7.20,578919879.30,7553953.43,True,-0.08,-0.02,False,-2.00,3.00,0.00,False,0.01,0.03,915469279.20,AKD nötr/negatif,-0.18,63.24,76.64,-0.06,3.00,-4.20
ELITE,2025-12-16,30.56,-50,0,4,0,31.65,31.39,-0.49,-0.44,0,41.73,10.14,-795959.00,29.86,31.43,33.00,9.99,0,2.37,33.05,0,100,0,0,0,0,ImpulseDown,2,Başlangıç,2025-09-26 00:00,33.13,ImpulseDown,5,Düşüş Başlangıcı,2025-12-15 08:00,31.66,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:00,27,-,0,SAT,-50,2025-12-09 13:30,46,-,0,SAT,-50,2025-11-11 12:00,75,-,0,SAT,-50,2025-11-11 00:00,25,0,0,0,0,0,29.10,32.02,-0.46,-1.64,34280692,37.728394,1.88,"ATR Oranı düşük (3.18%) | ATR STOP: 29.1, TP: 32.02 | 1H:%-0.46 | 1A:%-1.64",1,4.78,0,0,0,0,0,-2.37,-33.05,-795959.00,0,-0.97,118536893.54,31020122.86,True,-0.07,-0.03,False,-2.00,3.00,0.00,False,0.02,0.09,1239510605.12,AKD nötr/negatif,-1.29,9.56,3.82,-0.06,10.00,9.03
ENDAE,2025-12-16,15.00,100,3,0,0,14.89,14.71,-0.24,-0.30,1,52.29,14.15,5991846.00,13.77,14.75,15.73,13.28,0,32.98,29.78,0,100,1,0,0,0,ImpulseDown,5,Orta,2025-11-24 00:00,16.10,ImpulseUp,2,Düşüş Başlangıcı,2025-12-08 08:00,14.51,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 07:30,62,-,0,AL,50,2025-12-16 13:30,1,-,0,SAT,-50,2025-11-10 08:00,79,-,0,SAT,-50,2025-09-29 00:00,55,0,0,0,0,0,14.16,15.84,5.49,2.04,38416646,49.999996,0.64,"ATR Oranı düşük (3.73%) | Gelişmiş Cup & Handle | ATR STOP: 14.16, TP: 15.84 | 1H:%5.49 | 1A:%2.04 | Volume Delta pozitif",5,5.60,1,1,1,0,0,-32.98,-29.78,5991846.00,0,-12.02,254621003.07,25562439.86,True,0.00,-0.01,False,0.00,3.00,1.00,False,0.05,0.10,1735260345.00,AKD nötr/negatif,2.25,14.67,9.96,0.00,15.00,2.98
ENERY,2025-12-16,9.70,-50,0,4,0,10.40,10.17,-0.01,0.09,0,42.24,15.46,-12381672.00,9.52,10.38,11.24,16.54,1,209.29,18.49,0,0,0,0,0,0,ImpulseUp,3,Orta,2025-10-22 00:00,9.08,None,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,SAT,-50,2025-12-10 13:30,137,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,1,0,0,9.13,10.27,-5.83,-0.51,299636054,17.017544,1.81,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.94%) | ATR STOP: 9.13, TP: 10.27 | 1H:%-5.83 | 1A:%-0.51 | Confirmed SELL (alphaTrend teyidi)",-1,5.88,0,0,0,0,0,-209.29,-18.49,-12381672.00,0,-215.86,12705080323.00,164029271.71,True,-0.04,-0.02,False,0.00,3.00,1.00,False,0.01,0.02,18451042481.60,AKD nötr/negatif,-2.71,68.86,77.46,-0.04,16.00,-199.86
ENKAI,2025-12-16,80.75,0,0,0,0,78.57,79.24,1.47,1.58,0,61.92,43.03,-7952796.00,75.68,79.20,82.71,8.87,1,81.17,0.98,100,0,0,0,0,0,ImpulseUp,5,Başlangıç,2025-11-12 00:00,72.55,ImpulseUp,5,Orta,2025-12-09 08:00,79.9,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 13:45,4,-,0,AL,50,2025-11-24 06:30,152,-,0,AL,50,2025-10-21 12:00,116,-,0,-,0,,,0,1,0,0,0,77.84,83.66,-0.06,9.42,919096049,12.716536,55.46,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.98) | ATR Oranı düşük (2.4%) | ATR STOP: 77.84, TP: 83.66 | 1H:%-0.06 | 1A:%9.42 | Confirmed BUY (alphaTrend teyidi)",4,3.60,0,0,0,0,0,-81.17,-0.98,-7952796.00,0,-64.07,3148303976.37,696654025.43,True,-0.06,0.00,False,0.00,3.00,1.00,False,0.02,0.06,40057870121.25,AKD nötr/negatif,-0.62,7.86,4.52,-0.04,17.00,-47.07
ENTRA,2025-12-16,10.69,0,0,0,0,10.64,10.55,-0.02,-0.10,1,53.52,13.40,-4958620.00,10.11,10.47,10.84,6.94,0,44.46,18.71,0,0,0,0,0,0,ImpulseDown,3,Orta,2025-11-06 00:00,12.10,ImpulseDown,3,Başlangıç,2025-12-03 04:00,10.69,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 13:15,6,-,0,AL,50,2025-12-10 13:30,37,-,0,AL,50,2025-12-12 04:00,8,-,0,SAT,-50,2025-11-13 00:00,23,0,0,0,0,0,10.21,11.17,1.81,-2.02,74526108,0,0.64,"ATR Oranı düşük (2.97%) | ATR STOP: 10.21, TP: 11.17 | 1H:%1.81 | 1A:%-2.02",1,4.49,0,0,0,0,0,-44.46,-18.71,-4958620.00,0,-42.46,2655531536.29,67104765.43,True,0.06,-0.00,True,2.00,3.00,2.00,False,0.01,0.06,3949022404.40,AKD pozitif (1g norm),-0.56,67.25,39.57,0.04,33.00,-9.46
EPLAS,2025-12-16,5.19,-100,0,3,0,5.36,5.35,-0.20,-0.24,1,39.76,10.89,2285878.00,4.95,5.29,5.64,12.98,0,14.07,31.35,0,100,0,0,0,0,ImpulseDown,5,Orta,2025-12-11 00:00,5.46,ImpulseUp,4,Orta,2025-12-11 08:00,5.46,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-15 10:15,51,-,0,SAT,-50,2025-12-12 11:30,21,-,0,SAT,-50,2025-10-14 04:00,133,-,0,SAT,-50,2025-11-12 00:00,24,0,0,0,0,0,4.88,5.50,1.17,-9.74,24176557,0,0.30,"ATR Oranı düşük (3.94%) | ATR STOP: 4.88, TP: 5.5 | 1H:%1.17 | 1A:%-9.74",3,5.97,0,0,0,0,0,-14.07,-31.35,2285878.00,0,-2.06,859476184.35,11563796.00,True,0.05,0.07,False,2.00,3.00,2.00,False,0.02,0.06,708768618.39,AKD nötr/negatif,0.19,121.26,74.32,0.06,23.00,20.94
ERBOS,2025-12-16,184.50,0,0,0,0,188.67,184.77,-1.19,-1.74,1,48.44,13.02,-38342.00,176.78,184.56,192.35,8.43,0,35.16,11.21,0,0,0,0,0,0,ImpulseDown,3,Orta,2025-11-04 00:00,204.90,ImpulseUp,5,Orta,2025-12-16 08:00,182.9,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,AL,50,AL,50,2025-12-16 14:45,0,-,0,AL,50,2025-12-15 06:30,17,-,0,SAT,-50,2025-11-24 04:00,50,-,0,AL,50,2025-07-21 00:00,106,0,0,0,0,0,176.33,192.67,1.26,-2.43,17527731,0,1.18,"ATR Oranı düşük (2.95%) | ATR STOP: 176.33, TP: 192.67 | 1H:%1.26 | 1A:%-2.43",1,4.43,0,0,0,0,0,-35.16,-11.21,-38342.00,0,-28.22,127316568.47,13094235.86,True,0.03,0.03,False,0.00,3.00,1.00,False,0.00,0.02,2144180403.00,AKD nötr/negatif,-0.75,5.94,9.72,0.03,13.00,-15.22
