rule_type,conditions,N,Ret_Mean,TopRate,Lift,level
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""PUANLAMA_V4"", ""op"": ""in_bin"", ""val"": {""left"": 3.0, ""right"": 13.0, ""closed"": ""right""}}]",1582,13.439440831624673,0.21997471554993678,0.11997471554993677,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""PUANLAMA_V4"", ""op"": ""in_bin"", ""val"": {""left"": 3.0, ""right"": 13.0, ""closed"": ""right""}}]",1582,13.439440831624673,0.21997471554993678,0.11997471554993677,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""Confirmed_BUY"", ""op"": ""=="", ""val"": 1}]",188,10.849835360831399,0.21808510638297873,0.11808510638297873,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",1256,13.84658116486239,0.21735668789808918,0.11735668789808917,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",1257,13.84536121537673,0.2171837708830549,0.1171837708830549,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""ATH'ye Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": -0.001, ""right"": 14.24, ""closed"": ""right""}}]",1539,13.559481727685512,0.21637426900584794,0.11637426900584794,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""ATHSkor"", ""op"": ""in_bin"", ""val"": {""left"": -14.24, ""right"": 0.0, ""closed"": ""right""}}]",1536,13.49890609498297,0.21614583333333334,0.11614583333333334,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",1228,13.805523107207636,0.21579804560260588,0.11579804560260587,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",1191,14.061049729489985,0.21578505457598657,0.11578505457598656,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",1229,13.804308771612991,0.21562245728234336,0.11562245728234335,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",1161,13.941299146664084,0.2136089577950043,0.1136089577950043,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""MACD"", ""op"": ""in_bin"", ""val"": {""left"": 0.04, ""right"": 73.68, ""closed"": ""right""}}]",1628,13.538585194984766,0.21314496314496315,0.11314496314496314,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""Sinyal"", ""op"": ""in_bin"", ""val"": {""left"": 0.0, ""right"": 100.0, ""closed"": ""right""}}]",1084,13.36390123543723,0.21309963099630996,0.11309963099630996,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""RSI"", ""op"": ""in_bin"", ""val"": {""left"": 50.43, ""right"": 94.92, ""closed"": ""right""}}]",1076,13.77279109809533,0.2128252788104089,0.11282527881040891,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""MACD_Signal"", ""op"": ""in_bin"", ""val"": {""left"": 0.08, ""right"": 70.7, ""closed"": ""right""}}]",1741,13.166931041580886,0.21194715680643308,0.11194715680643308,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""MACD_Signal"", ""op"": ""in_bin"", ""val"": {""left"": 0.08, ""right"": 70.7, ""closed"": ""right""}}]",1741,13.166931041580886,0.21194715680643308,0.11194715680643308,pair
pair,"[{""col"": ""SMA5_137_4h_Sinyal_Filt"", ""op"": ""=="", ""val"": ""AL""}, {""col"": ""BB_W"", ""op"": ""in_bin"", ""val"": {""left"": 21.34, ""right"": 248.07, ""closed"": ""right""}}]",845,13.004613920258747,0.2118343195266272,0.1118343195266272,pair
pair,"[{""col"": ""SMA5_137_4h_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 50.0}, {""col"": ""BB_W"", ""op"": ""in_bin"", ""val"": {""left"": 21.34, ""right"": 248.07, ""closed"": ""right""}}]",845,13.004613920258747,0.2118343195266272,0.1118343195266272,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""MACD_Signal"", ""op"": ""in_bin"", ""val"": {""left"": 0.08, ""right"": 70.7, ""closed"": ""right""}}]",1643,13.333404513624323,0.21119902617163724,0.11119902617163724,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""ATH'ye Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": -0.001, ""right"": 14.24, ""closed"": ""right""}}]",1696,13.10388874713454,0.21108490566037735,0.11108490566037735,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""ATH'ye Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": -0.001, ""right"": 14.24, ""closed"": ""right""}}]",1696,13.10388874713454,0.21108490566037735,0.11108490566037735,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""ATHSkor"", ""op"": ""in_bin"", ""val"": {""left"": -14.24, ""right"": 0.0, ""closed"": ""right""}}]",1693,13.0481232711908,0.2108682811577082,0.11086828115770819,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""ATHSkor"", ""op"": ""in_bin"", ""val"": {""left"": -14.24, ""right"": 0.0, ""closed"": ""right""}}]",1693,13.0481232711908,0.2108682811577082,0.11086828115770819,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""MACD"", ""op"": ""in_bin"", ""val"": {""left"": 0.04, ""right"": 73.68, ""closed"": ""right""}}]",1760,13.222505329022413,0.21079545454545454,0.11079545454545453,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""MACD"", ""op"": ""in_bin"", ""val"": {""left"": 0.04, ""right"": 73.68, ""closed"": ""right""}}]",1760,13.222505329022413,0.21079545454545454,0.11079545454545453,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-17 12:00""}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",171,17.076103557570402,0.21052631578947367,0.11052631578947367,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-17 12:00""}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",171,17.076103557570402,0.21052631578947367,0.11052631578947367,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""RSI"", ""op"": ""in_bin"", ""val"": {""left"": 50.43, ""right"": 94.92, ""closed"": ""right""}}]",1505,13.443435951178866,0.20996677740863787,0.10996677740863786,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""Confirmed_BUY"", ""op"": ""=="", ""val"": 1}]",443,11.726332706777752,0.20993227990970656,0.10993227990970655,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""Confirmed_BUY"", ""op"": ""=="", ""val"": 1}]",443,11.726332706777752,0.20993227990970656,0.10993227990970655,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""PUANLAMA_V4"", ""op"": ""in_bin"", ""val"": {""left"": 3.0, ""right"": 13.0, ""closed"": ""right""}}]",1182,13.71963139339803,0.2098138747884941,0.10981387478849408,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""MACD"", ""op"": ""in_bin"", ""val"": {""left"": 0.04, ""right"": 73.68, ""closed"": ""right""}}]",1322,13.608170366503893,0.20726172465960666,0.10726172465960665,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""Sinyal"", ""op"": ""in_bin"", ""val"": {""left"": 0.0, ""right"": 100.0, ""closed"": ""right""}}]",749,13.314974486017592,0.205607476635514,0.10560747663551401,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",1085,13.953077422034001,0.2055299539170507,0.1055299539170507,pair
pair,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}, {""col"": ""RSI"", ""op"": ""in_bin"", ""val"": {""left"": 50.43, ""right"": 94.92, ""closed"": ""right""}}]",1689,13.010266983381234,0.20485494375370042,0.10485494375370041,pair
pair,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}, {""col"": ""RSI"", ""op"": ""in_bin"", ""val"": {""left"": 50.43, ""right"": 94.92, ""closed"": ""right""}}]",1689,13.010266983381234,0.20485494375370042,0.10485494375370041,pair
pair,"[{""col"": ""SMA5_137_1d_Sinyal_Filt"", ""op"": ""=="", ""val"": ""-""}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",495,13.608112411822932,0.20404040404040405,0.10404040404040404,pair
pair,"[{""col"": ""SMA5_137_1d_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 0.0}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",495,13.608112411822932,0.20404040404040405,0.10404040404040404,pair
