Sembol,Analiz_Tarihi_str,Fiyat (Son),Alis_Fiyati_AnalizGunu,Beklenen_5g_Getiri_%,Tahmini_Risk_5g,Kural_ID_5g
KARSN,2025-10-21,9.87,9.87,11.03128301824211,8.224164660517097,combo_12
KARTN,2025-10-21,79.6,79.6,11.03128301824211,8.224164660517097,combo_12
KATMR,2025-10-21,2.75,2.75,11.03128301824211,8.224164660517097,combo_12
KBORU,2025-10-21,13.44,13.44,11.03128301824211,8.224164660517097,combo_12
KCAER,2025-10-21,12.6,12.6,11.03128301824211,8.224164660517097,combo_12
KFEIN,2025-10-21,9.45,9.45,11.03128301824211,8.224164660517097,combo_12
KLGYO,2025-10-21,6.47,6.47,11.03128301824211,8.224164660517097,combo_12
KLKIM,2025-10-21,33.8,33.8,11.03128301824211,8.224164660517097,combo_12
KLMSN,2025-10-21,32.02,32.02,11.03128301824211,8.224164660517097,combo_12
KLSYN,2025-10-21,5.67,5.67,11.03128301824211,8.224164660517097,combo_12
KMPUR,2025-10-21,16.51,16.51,11.03128301824211,8.224164660517097,combo_12
KNFRT,2025-10-21,13.5,13.5,11.03128301824211,8.224164660517097,combo_12
KOCMT,2025-10-21,2.7,2.7,11.03128301824211,8.224164660517097,combo_12
KONTR,2025-10-21,29.18,29.18,11.03128301824211,8.224164660517097,combo_12
KOZAA,2025-10-21,84.7,84.7,11.03128301824211,8.224164660517097,combo_12
KRDMA,2025-10-21,28.22,28.22,11.03128301824211,8.224164660517097,combo_12
KRDMD,2025-10-21,25.8,25.8,11.03128301824211,8.224164660517097,combo_12
KRGYO,2025-10-21,2.92,2.92,11.03128301824211,8.224164660517097,combo_12
KRONT,2025-10-21,15.36,15.36,11.03128301824211,8.224164660517097,combo_12
KRTEK,2025-10-21,29.46,29.46,11.03128301824211,8.224164660517097,combo_12
KRVGD,2025-10-21,2.51,2.51,11.03128301824211,8.224164660517097,combo_12
KTSKR,2025-10-21,71.05,71.05,11.03128301824211,8.224164660517097,combo_12
KUTPO,2025-10-21,105.0,105.0,11.03128301824211,8.224164660517097,combo_12
KUYAS,2025-10-21,46.2,46.2,11.03128301824211,8.224164660517097,combo_12
LIDER,2025-10-21,63.0,63.0,11.03128301824211,8.224164660517097,combo_12
LKMNH,2025-10-21,16.03,16.03,11.03128301824211,8.224164660517097,combo_12
LMKDC,2025-10-21,24.18,24.18,11.03128301824211,8.224164660517097,combo_12
LOGO,2025-10-21,145.4,145.4,11.03128301824211,8.224164660517097,combo_12
LRSHO,2025-10-21,5.67,5.67,11.03128301824211,8.224164660517097,combo_12
LYDHO,2025-10-21,120.0,120.0,11.03128301824211,8.224164660517097,combo_12
MAKIM,2025-10-21,16.64,16.64,11.03128301824211,8.224164660517097,combo_12
MAKTK,2025-10-21,14.44,14.44,11.03128301824211,8.224164660517097,combo_12
MANAS,2025-10-21,6.47,6.47,11.03128301824211,8.224164660517097,combo_12
MARTI,2025-10-21,3.12,3.12,11.03128301824211,8.224164660517097,combo_12
MEDTR,2025-10-21,29.5,29.5,11.03128301824211,8.224164660517097,combo_12
MEGMT,2025-10-21,34.2,34.2,11.03128301824211,8.224164660517097,combo_12
MERCN,2025-10-21,34.4,34.4,11.03128301824211,8.224164660517097,combo_12
MERKO,2025-10-21,13.62,13.62,11.03128301824211,8.224164660517097,combo_12
METRO,2025-10-21,5.08,5.08,11.03128301824211,8.224164660517097,combo_12
MNDRS,2025-10-21,13.49,13.49,11.03128301824211,8.224164660517097,combo_12
MOBTL,2025-10-21,7.35,7.35,11.03128301824211,8.224164660517097,combo_12
MOGAN,2025-10-21,8.92,8.92,11.03128301824211,8.224164660517097,combo_12
MOPAS,2025-10-21,35.58,35.58,11.03128301824211,8.224164660517097,combo_12
MPARK,2025-10-21,324.25,324.25,11.03128301824211,8.224164660517097,combo_12
MRGYO,2025-10-21,2.78,2.78,11.03128301824211,8.224164660517097,combo_12
MSGYO,2025-10-21,6.1,6.1,11.03128301824211,8.224164660517097,combo_12
NATEN,2025-10-21,8.55,8.55,11.03128301824211,8.224164660517097,combo_12
