rule_type,conditions,N,Ret_Mean,TopRate,Lift,level
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-22 12:00""}, {""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-22 00:00""}]",325,10.22527849789748,0.28923076923076924,0.18923076923076923,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-20 00:00""}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",169,8.657729055745467,0.25443786982248523,0.15443786982248522,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-20 00:00""}, {""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",169,8.657729055745467,0.25443786982248523,0.15443786982248522,pair
pair,"[{""col"": ""EW_Phase_1d"", ""op"": ""=="", ""val"": ""Yükseliş Başlangıcı""}, {""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}]",259,7.02848873859978,0.2471042471042471,0.1471042471042471,pair
pair,"[{""col"": ""EW_Phase_1d"", ""op"": ""=="", ""val"": ""Yükseliş Başlangıcı""}, {""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}]",259,7.02848873859978,0.2471042471042471,0.1471042471042471,pair
pair,"[{""col"": ""EW_Phase_1d"", ""op"": ""=="", ""val"": ""Yükseliş Başlangıcı""}, {""col"": ""ADX"", ""op"": ""in_bin"", ""val"": {""left"": 25.36, ""right"": 85.7, ""closed"": ""right""}}]",240,5.688532889989235,0.2375,0.13749999999999998,pair
pair,"[{""col"": ""EW_Phase_1d"", ""op"": ""=="", ""val"": ""Yükseliş Başlangıcı""}, {""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}]",271,6.911969572875486,0.23616236162361623,0.13616236162361622,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt"", ""op"": ""=="", ""val"": ""AL""}]",785,6.4748757736099645,0.2318471337579618,0.13184713375796178,pair
pair,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}, {""col"": ""SMA5_137_4h_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 50.0}]",785,6.4748757736099645,0.2318471337579618,0.13184713375796178,pair
pair,"[{""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}, {""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}]",1085,6.823061361726466,0.2313364055299539,0.1313364055299539,pair
pair,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}, {""col"": ""EW_CurrentWave_4h"", ""op"": ""=="", ""val"": ""2""}]",434,6.475880437102164,0.2304147465437788,0.1304147465437788,pair
